DOW MON DY HH:MM:SS YYYY UTC-OFFSET  EVTTYPE    POINT   MMI   STATE          DESCRIPTION
----------------------------------------------------------------------------------------
Thu Jan 01 00:03:33 1970(UTC+00:00)  VELEVENT   05270   001   Clear          Compressor High Head Pressure
Thu Jan 01 00:03:38 1970(UTC+00:00)  VELEVENT   05418   001   Alarm          Unit Code Missing
Thu Jan 01 00:03:43 1970(UTC+00:00)  VELEVENT   05418   001   Alarm          Unit Code Missing
Thu Jan 01 00:03:43 1970(UTC+00:00)  VELEVENT   05270   001   Alarm          Compressor High Head Pressure
Thu Jan 01 00:03:44 1970(UTC+00:00)  VELEVENT   05272   002   Alarm          Compressor Thermal Overload
Thu Jan 01 00:03:46 1970(UTC+00:00)  VELEVENT   05418   001   Clear          Unit Code Missing
Thu Jan 01 00:03:46 1970(UTC+00:00)  VELEVENT   05272   002   Clear          Compressor Thermal Overload
Thu Jan 01 00:06:56 1970(UTC+00:00)  SYSEVENT                 Message        DNS lookup failure for host: pool.ntp.org
Thu Jan 01 00:07:27 1970(UTC+00:00)  VELEVENT   05109   001   Message        Unit On
Thu Jan 01 00:07:27 1970(UTC+00:00)  VELEVENT   05109   001   Clear          Unit On
Thu Jan 01 00:07:55 1970(UTC+00:00)  VELEVENT   05113   001   Message        Unit Shutdown
Thu Jan 01 00:07:55 1970(UTC+00:00)  VELEVENT   05113   001   Clear          Unit Shutdown
Thu Jan 01 00:07:56 1970(UTC+00:00)  VELEVENT   05110   001   Message        Unit Off
Thu Jan 01 00:07:56 1970(UTC+00:00)  VELEVENT   05110   001   Clear          Unit Off
Thu Jan 01 00:08:00 1970(UTC+00:00)  VELEVENT   05109   001   Message        Unit On
Thu Jan 01 00:08:01 1970(UTC+00:00)  VELEVENT   05109   001   Clear          Unit On
Thu Jan 01 00:08:21 1970(UTC+00:00)  VELEVENT   04723   001   Alarm          Water Under Floor
Thu Jan 01 00:08:33 1970(UTC+00:00)  VELEVENT   04723   001   Clear          Water Under Floor
Thu Jan 01 00:08:35 1970(UTC+00:00)  VELEVENT   05118   001   Warning        Clogged Air Filter
Thu Jan 01 00:08:38 1970(UTC+00:00)  VELEVENT   05118   001   Clear          Clogged Air Filter
Thu Jan 01 00:08:50 1970(UTC+00:00)  VELEVENT   05110   001   Message        Unit Off
Thu Jan 01 00:08:51 1970(UTC+00:00)  VELEVENT   05110   001   Clear          Unit Off
Thu Jan 01 00:10:00 1970(UTC+00:00)  VELEVENT   05043   001   Alarm          Humidifier Issue
Thu Jan 01 00:10:07 1970(UTC+00:00)  VELEVENT   05043   001   Clear          Humidifier Issue
Thu Jan 01 00:10:13 1970(UTC+00:00)  VELEVENT   05109   001   Message        Unit On
Thu Jan 01 00:10:13 1970(UTC+00:00)  VELEVENT   05109   001   Clear          Unit On
Thu Jan 01 00:10:28 1970(UTC+00:00)  VELEVENT   05113   001   Message        Unit Shutdown
Thu Jan 01 00:10:29 1970(UTC+00:00)  VELEVENT   05113   001   Clear          Unit Shutdown
Thu Jan 01 00:10:29 1970(UTC+00:00)  VELEVENT   05110   001   Message        Unit Off
Thu Jan 01 00:10:30 1970(UTC+00:00)  VELEVENT   05110   001   Clear          Unit Off
Thu Jan 01 00:10:48 1970(UTC+00:00)  VELEVENT   05053   001   Alarm          Loss of Air Flow
Thu Jan 01 00:11:17 1970(UTC+00:00)  VELEVENT   05270   001   Clear          Compressor High Head Pressure
